Songs,Lyrics
Remote Control pt 2,"[Intro: Kanye West]Please don't ask again, who's up in the van?They my only fansI was in my hovercraft, had another laughHow you roll with them? When you know I'm him[Chorus: Kanye West]Got it on remote controlGot it on remote controlGot it on remote control, like a CEOI thought you should know[Verse 1: Kanye West]On my Instagram, it get outta handWhy you so mad?[Interlude][Pre-Chorus: Kanye West]He got it on remote control, like a CEOFeelin' like the man, feelin' like the manI was in my hovercraft, floatin' down the pathGod just grabbed my hand, had a bigger plan[Chorus: Kanye West & Young Thug]He got this on remote controlHe got it on remote control'TrolWoah-woah, woah-woah"
God Breathed,"[Chorus: Kanye West]I know God breathed on thisI know God breathed on thisI know God breathed on thisI know God breathed on this[Verse 1: Kanye West & Vory]I know He got His hands on thisI know we got a chance on thisNo, I never planned on thisI might need a band on thisThis might get banned off ripGon' say somethin' for y'all quickLet me know something, who y'all with?Don't know nothing, I know this[Chorus: Kanye West]I know God breathed on thisI know God breathed on thisI know God breathed on thisI know God breathed on this[Break: Vory]Oh-oh, oh-ohBreathed on this, breathed, breathed, oh, oh"
Lord I Need You,"[Chorus]Well, Lord, I need You to wrap Your arms around meWrap Your arms around with Your mercyLord, I need You to wrap Your arms around meI give up on doin' things my wayAnd tell me everything's gonna be alright, oh[Verse]When you said give me a ring, you really meant a ring, huh?Turned out to be more than just a fling, huh?Three hours to get back from Palm Springs, huh?Who you know spend an hour in Walgreens, huh?You know you'll always be my favorite prom queenEven when we in dad shoes or mom jeansToo many complaints made it hard for me to thinkWould you shut up? I can't hear myself drinkWe used to do the freak like seven days a weekIt's the best collab since Taco Bell and KFC, uhTalk to me nicely, don't come at me loudYou had a Benz at sixteen, I could barely afford a AudiHow you gon' try to say sometimes it's not about me?Man, I don't know what I would do without meBillionaire sport, step up to the courtThey rented a room, we bought the resortGod got me, baby, God got the childrenThe devil run the playground, but God own the buildin'Time and silence a luxuryCussin' at your baby mama, guess that's why they call it custodyGod got us, baby, God got the childrenThe devil run the playground, but God own the buildin'Time and space is a luxuryBut you came here to show that you still in love with meStartin' to feel like you ain't been happy for me lately, darlin''Member when you used to come around and serenade me, woahBut I guess it's gone different in a different direction latelyTryna do the right thing with the freedom that you gave me (Wheezy outta here)Your gun off safetySpeak first, don't break meHarsh words, you're angryLord, don't take me, oh, oh"
24,"[Intro: Sunday Service Choir]Dear God, make it alrightOnly You can make it alrightDear Lord, make it alrightNothing else ever feels rightDear God, make it alrightNothing else ever feels rightNa-na-na, nothing else ever feels right[Verse 1: Kanye West]ExhaustedNever the right time to go—Right time to goNever the right time to goGod loves youLove when He choose your stepsGotta make it right 'fore you leftGotta make it right before you—Everybody wanna feel likеEverything gon' be rightNew mе over the old meLet it out, let it all outGod, please set it alrightMake it right, now that feels rightNothing else ever feels rightNothing else ever feels right"
Junya,"[Chorus: Kanye West]Junya Watanabe on my wri', wri'Junya Watanabe on my wri', wri'Tell 'em this, did he miss?Junya Watanabe on my, mmhI can't really see, where did I miss? (Mmh, mmh)[Verse 1: Kanye West]Ex-strippers (Mmh, mmh)New killers (Mmh, mmh), Chi' **** tell 'em (Mmh, mmh)This on Donda (Mmh, mmh), on my mama (Mmh, mmh)Made a promise (Mmh)[Chorus: Kanye West]Junya Watanabe on my wri'Junya Watanabe on my wri'Tell 'em this, did he miss? (Wri')Junya Watanabe on my, mmhI can't really see, where did I miss? (Mmh)Junya Watanabe on my wri' (Mmh, mmh)Junya Watanabe on my—[Verse 2: Kanye West]All summer (Mmh, mmh), all summer (Mmh, mmh).45 gunners (Mmh, mmh), in pajamas (Mmh, mmh)They piranhas (Mmh, mmh)Buy out the store in hours like we planned it"
Never Abandon Your Family,"[Intro: Donda West]Two lessons that he passed along to his childrenThe first is that, no matter what, you never abandon your familyThe second was that, no matter what, you love unconditionallyIt is that kind of love that made my father the kind of father and the kind of man he isHe vowed that he would never walk away from his family, and he never has[Verse 1: Kanye West]You know why my spirit's callin'Darkness can't take light from meHaven't you gone far enough?Sacrificed the ones you loveGave up on your sanityLike some twisted fantasyWhat would I say to everything?Your actions cost everything[Refrain]My, my, my familyMy family, I'm losing my familyI'm losing my familyLosing my family[Verse 2]Cried out to you in my sleep, you thought it was a dream""Why won't you answer me? I'm in the room""""Tell mom you're sorry,"" she's screaming at me""Daddy, how could you leave? Daddy, how could you leave?""""Come back tonight, daddy, please, come back tonight, daddy, please""""Daddy, how could you leave? Daddy, how could you leave?""She don't know what this means, ""How'd you become so mean?""I wish I never screamed, alcohol when you breatheThese things, these things, these things, these things, they sting""Daddy, promise you'll stay, don't you love me? Love me"""
Donda,"[Intro: Kanye West with Stalone]Forever, yeahCan you hear me? YeahForever, yeahForever, forever, noOh yeah, glory, glory, gloryGlory, glory, glory, glory[Spoken Word: Donda West, Kanye West, Kanye West & Stalone]It feels good to be homeAnd to all of you, I thank you so much for your supportFor your support of me for so many yearsAnd more importantly, for the work you continue to doWhat do you want me to talk about?Well, he said something that was a little bit dangerousHe told me I could talk about anything I wanted toAnd you know, I am my son's motherThe man I describe in the introduction as being so decidedly differentMy son (When you're runnin' outta timе and you're not outta time)And what made thе project extra special to me isI got a chance to share not only what he has meant to meBut what he has meant to a generation (Change the time)As one writer said, we came from somewhereNot just from the wombs of our mothers and the seeds of our fathersBut from a long line of generations who came before us"
Keep My Spirit Alive,"[Intro: Kanye West & KayCyy]Ooh, oohKeep my spirit aliveKeep my spirit alive, alive[Chorus: Kanye West]More than anythingYou can take it all, but the Lord on my sideSpirit won't die, dieOh, oh, my lifeIs in His hands, so I don't stress, I pray and strategize[Verse 1: Westside Gunn]YoFlushed the work just in time and they raided, thank God (Thank God)Screamin' through the GT roof like ****, we done made it, thank God (Thank God)Hundred-round drum didn't jam when my shooter tried to spray it, thank God (Thank God)Couple thousand grams, got two thousand grands when we waited, thank God (Thank God)I was facin' fifteen and I beat it (And I beat it)Just spent about twenty up at Neimans (Up at Neimans)Did two hundred in a Demon (In a Demon, skrrt)I'm the illest **** and I mean it (And I mean it)My homie droppin' bodies for no reason (Boom, boom, boom, boom, boom)Now his kids see him on the weekends (Ah)Got the baking soda for the remix (Remix)Millionaires on, I can see it"
Jesus Lord pt 2,"[Chorus: Kanye West]Tell me if you know someone that needs (Jesus Lord)Now, we've been through a lot of thingsTell me if you know someone that needs (Jesus Lord)We done seen a lot of thingsTell me if you know someone that needs (Jesus Lord)Been through a lot of thingsTell me if you know someone that needs (Jesus Lord)[Verse 1: Kanye West]Sittin’ by myself, I'm just thinkin'About all I’ve been through, I wish I was dreamingMan, it's hard to be an angel when you surrounded by demons (Jesus Lord)I watched so many people leave, I see 'em change by the seasonThat's mama's sеasonin'God got you, the devil's watchin', he just peekin’ inI know I madе a promise that I’d never let the reaper in (Jesus)But lately, I've been losing all my deepest friends (Lord)And lately, I’ve been swimmin' on the deepest endIt's just drugs, it ain't no hugs, it ain’t no love thereYou've been down so much, you don't even know what's upstairs (Jesus)Suicidal thoughts got you wonderin' what's up there (Lord)And while they introduce a party, they say it's up thereToo many pills, so much potions, so much pain, too many emotionsAnd everything that you do good, it just go unnoticed (Jesus)Did He tell you that you good and just stay focused? (Lord)Mama, you was the life of the partyI swear you brought life to the partyWhen you lost your life, it took the life out the party (Jesus)That woman rode with me like a Harley (Lord)Visions of my cousin in a cell really scarred meMovin' to the hood was like signin' up for the army'Cause they've been killin' **** since **** was watchin' Barney (Jesus)You want dreams to come true? But I had nightmares (Lord)'Cause if that come to life, then I might not be right hereBeen in the dark so long, don't know if the light hereBut I'm just reaching for the stars like Buzz Lightyear (Jesus)And now I'm lightyears ahead of those nightmares (Lord)I deaded those night tears when the night clearsAnd if I talk to Christ, could I bring my mother back to life?And if I die tonight, will I see her in the afterlife? (Jesus)But back to reality, where everything's a tragedy (Lord)And better have a strategy or you could be a statisticLittle boy dies, he's just one of the mysticAnd mama's steady crying 'cause she really the victim (Jesus)Now she's getting high and she's getting addicted (Lord)And her older boy just stuck with the picture, painted vividThat's a family portrait and her daughter just absorbed itSixteen, pregnant, baby daddy say she should abort it (Jesus)But we can't afford it, so she decides to move forward (Lord)Baby shower time, father didn't show upAnd she just feeling nauseous like she finna throw upThe water flows down her legs, yeah, it's finna go up (Jesus)A year done went by, her daughter just turned one (Lord)And she's still dependent on her momBig brother in the streets, he went and bought him a gunHe want revenge 'cause the pain feelin' numb (Jesus)And her mom still doing drugs 'cause that's the only time she feel loved (Lord)But is it real love? Do the scars really heal up?From all the pain that done built up, but they don't feel us (Jesus)A week done flew by, big bro ridin', then he see the guys (Lord)Left his little brother on the side, bleeding from the sideHe seein' red, it's like he's bleeding through his eyesTo see him dead, the only thing that'll help the grieving up inside (Jesus)He even let him get they last mealHe done with the streets after this, this his last kill (Lord)He gotta show him that it's that realHe ran up on him with the pipe like, ""****, stand still"" (Jesus)""You took my brother life, you made my mother cry"" (Lord)""Tell me one reason I shouldn't send you up to Christ""He said, ""Go 'head, take my life, I've seen everything but Christ""Then big bro just blacked out and all you seen was the light (Jesus Lord)"
Donda Chant,"[Interlude: Syleena Johnson]Donda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, DondaDonda, Donda, Donda, Donda, Donda, Donda"
Jail,"[Intro: Kanye West]Take what you wantTake everythingTake what you wantTake what you want[Verse 1: Kanye West]Better that I change my number so you can't explainViolence in the night, violence in the nightPriors, priors, do you have any priors?Well, that one timeI'll be honest, I'll be honestWe all liarsLet it go[Pre-Chorus: Kanye West]I'll be honest, we all liarsI'll be honest, we all liarsI'm pulled over and I got priorsGuess we goin' down, guess who's goin' to jail?[Chorus: Kanye West]Guess who's goin' to jail tonight?Guess who's goin' to jail tonight?Guess who's goin' to jail tonight?God gon' post my bail tonight"
God Breathed,"[Chorus: Kanye West]I know God breathed on thisI know God breathed on thisI know God breathed on thisI know God breathed on this[Verse 1: Kanye West & Vory]I know He got His hands on thisI know we got a chance on thisNo, I never planned on thisI might need a band on thisThis might get banned off ripGon' say somethin' for y'all quickLet me know something, who y'all with?Don't know nothing, I know this[Chorus: Kanye West]I know God breathed on thisI know God breathed on thisI know God breathed on thisI know God breathed on this[Break: Vory]Oh-oh, oh-ohBreathed on this, breathed, breathed, oh, oh"
Off The Grid,"[Intro: Kanye West & Playboi Carti]What? YeahBoy (What?)[Chorus: Kanye West]We off the grid, grid, gridThis for my kid, kid, kidFor when my kid kid kids have kidsEverything we did for the crib[Verse 1: Kanye West & Playboi Carti]Everything we did, how we live (What?)All this smoke got a scentAll that smoke heaven sent (Scent)Everything I spoke, what I meant (Ah)Never disguise my intent, lines outside the eventBrought my life out the trenchGod, thank God, look what He did, did, did, did, did, didWe off the grid, grid, grid, grid, grid (Ayy)What?We off the grid, grid, grid, grid[Verse 2: Playboi Carti]I'm off the grid (Homicide, homicide, what?)Got tats on my ribs (Ah), tattoos on my ribs (What?)I just tattеd my kid, Onyx (Slatt)I just threw twenty K on thesе ****, we was at Onyx (Ah, what?)I just bought me some brand new clothes, Dover Street Market (Givenchy)Ayy, we just took the route to Charlotte (Yeah, ah, what? Yeah)I'm in the Rolls-Royce **** on—what you call it? (Yeah, yeah)I light a opp blunt and let your **** try it (Ah)Uh, them off the grid, I'm on a **** diet (What?)"
Hurricane,"[Chorus: The Weeknd]See this in 3D, all lights out for meAll lights out for me, lightning strikes the beachEighty degrees, warm it up for meFinally free, found the God in meAnd I want you to see, I can walk on waterThousand miles from shore, I can float on the waterFather, hold me close, don't let me drownI know You won't[Verse 1: Lil Baby]Yeah, walkin' on the bridge, I threw my sins over the deep endSippin' 'til my stomach hurt, this month I done lost three friendsEarly mornin', brainstormin', normally I can't sleep inSometimes I just wanna restart it, but it all dependsIf I'ma be that same young, hungry **** from West EndWrote my hardest wrongs and the crazy part, I ain't have no penMaybach interior camе with sheepskinStill remember whеn I just had three bandsNow I'm the one everyone call on 'cause I got deep pantsBro told me the way to beat the game is on the defense andNever fazed by names that they might call me, but they gon' respect itAnd I feel like you better off tryin' to call, I might not get the messageAnd she just tried to run off with my heart, but I blocked off the exit, yeah[Bridge: The Weeknd & KayCyy]Oh-oh, I know You won't (I know You won't)I know You won't (Oh), oh (Oh, yeah)I know You won't, I know that You look over us (I know)So we silently sleepBring down the rain, yeah, oh"
Praise God,"[Intro: Travis Scott & Donda West]That she wrote, ""Speech to the Young: Speech to the Progress-Toward""Say to them, say to the down-keepers, the sun-slappersThe self-soilers, the harmony-hushersEven if you are not ready for the day, it cannot always be nightServe, flex, I do work (Work)Six, I'm like MikeHe's out of sight, wooYou done got me pipedTwo-man like IkeSix out the spot (Uh, uh)Into the night[Verse 1: Travis Scott & Kanye West]Yeah, I'm shakin' the drop (Drop)I'm still up on top (Aight)I been had the bopThe devil my opp, can't pay me to stop (It's lit)My God at the top (La Flame)[Chorus: Kanye West & Donda West]We gon' praise our way out the grave, dawgLivin', speakin', praise GodWalkin' out the graveyard back to lifeI serve, follow your word, see with new sight, into the night (Hey)"
Jonah,"[Chorus: Vory]Like who's here when I need a shoulder to lean on?I hope you're here when I need them demons to be goneAnd it's not fair that I had to fight 'em all on my ownLike who's here when I need a shoulder to lean on?I hope you're here when I need them demons to be goneAnd it's not fair that I had to fight 'em all on my own[Verse 1: Vory]Hard to keep my focus on what mattersMandem hit my line like, ""Some **** just got hit up on your block""You can rest assured it's not us'Cause we been out the wavе catchin' wavesThey say, ""We ain't seen you on thе block""'Cause I been out the wayChasin' millions in my sleep, I found the better waySomewhere on an island, let me kick it, this my getawayI pour up a drink for all my **** who ain't see the dayTryna finish this with who I started withWay too many fallen soldiers, no, I can't forgotHope they got headphones up in HeavenYou can vibe out and just hear this ****It's just certain **** you can't forget[Chorus: Vory]Like who's here when I need a shoulder to lean on?I hope you're here when I need them demons to be goneAnd it's not fair that I had to fight 'em all on my ownLike who's here when I need a shoulder to lean on?I hope you're here when I need them demons to be goneAnd it's not fair that I had to fight 'em all on my own"
Ok Ok,"[Verse 1: Kanye West & Fivio Foreign]Okay, now they got me, wanna rap againHeal the wound and then you stab me in my back again (Uh)You the type to play the joke and try to hide your hand (Uh)Not the type to come around and try to play your friend (Bomb)You the type to cut the grass and snake your bestest manI'm the type to close the deal and cut my **** inSee me in person, I look like a ghost (Grr)See me in person, I look like a ghost (Bow)You wanna come in and play with the G.O.A.T (Bow)You wanna come in and play with the G.O.A.T (God body)All you rap **** sound like me, can't tell who is whoYou got no real identity, can't tell you from youPrice went up (Yeah), angel investor (Yeah)Price went up (Uh), angel investor (Yeah)[Chorus: Kanye West & Fivio Foreign]Okay, okay, I'm not okayThink they're good, it's not okayOkay, okay, not okay (Uh)Think they’re good, get out the way (Uh)[Verse 2: Lil Yachty]Who said I did what? What did they do?Why the hell you hatin' so damn hard? Someone must pay youThey don't keep me 'round 'cause I'm straight truthMy dawg locked up, had more home runs than Babe Ruth (Boom)Had them chickens cleanin' my house, I told them, ""Be of use"" (Brr)If I see disloyalty, then we gon' cut 'em loose (Yeah)Havin' my hands 'round her neck, grip tight like a noose (Hee)Tell you a story with a bad ending 'cause I'm not a Seuss (Yeah, bih')Passin' 'round **** to the thugs for an immunity boost (Go)Double cup filled to the top with the serenity juice (Yessir)Moment of silence, R.I.P to Juice (Yeah, hey)If they say it's up, it's up, I don't need a truce (Damn)Everything I do is solely for the broken youth (Sheesh, yes)I just took her over the mountain with my index (Wow)She told me to go to Hell like I ain't been yet (Yuh)And I still put in overtime like I ain't win yet"
Junya,"[Chorus: Kanye West]Junya Watanabe on my wri', wri'Junya Watanabe on my wri', wri'Tell 'em this, did he miss?Junya Watanabe on my, mmhI can't really see, where did I miss? (Mmh, mmh)[Verse 1: Kanye West]Ex-strippers (Mmh, mmh)New killers (Mmh, mmh), Chi' **** tell 'em (Mmh, mmh)This on Donda (Mmh, mmh), on my mama (Mmh, mmh)Made a promise (Mmh)[Chorus: Kanye West]Junya Watanabe on my wri'Junya Watanabe on my wri'Tell 'em this, did he miss? (Wri')Junya Watanabe on my, mmhI can't really see, where did I miss? (Mmh)Junya Watanabe on my wri' (Mmh, mmh)Junya Watanabe on my—[Verse 2: Kanye West]All summer (Mmh, mmh), all summer (Mmh, mmh).45 gunners (Mmh, mmh), in pajamas (Mmh, mmh)They piranhas (Mmh, mmh)Buy out the store in hours like we planned it"
Believe What I Say,"[Intro: Lauryn Hill]Yo, yo (Check our situation)My men and my women(Yo) Yo, yo (Check our situation)My men and my wom–[Verse 1: Kanye West]You need somethin' unexpected, some form of weaponYou ask him to feel protected, and still feel protectedJust one time for the record, just one time for the recordDon't agree with the message, don't agree with the methods[Chorus: Kanye West]Don't let, don't let the lifestyle drag you downWho knows when was the last time you felt the loveOne last sparkle to follow in my lightOne last sparkle to follow[Verse 2: Kanye West]Man, it's too earlyWhat the hell you doin' wakin' me up at 5:30?Why the hell are you worried?Play somethin' that is very, very vibe-worthyI don't know want my mind alertingPeople sayin' tweetin' gonna make you die earlyHow 'bout have my heart hurtin'?Hold it all inside, that could make you die earlyGo on and get your best attorneySomething's there, feel it when I heard itJust release the spirit, let it flow thoughHow these **** leaving now with one leg like Flo-Jo?Nail me to the cross with long nails, like CokoFree Throat Coat for the throat goatsEven if I gotta do it solo, even if I gotta do it with no promoI ain't got my point across'Til we finally get across and pass the pointSo there's a couple things that I gotta quoteDon't involve yourself in things you don't have to knowI ain't never question what you was askin' forI gave you every single thing you was askin' forI don't understand how anybody could ask for moreGot a list of even more, I just laugh it offI be goin' through things I had to wroteCelebrity drama that only Brad'll knowToo many family secrets, somebody passin' notesThings I cried about, I found laughableLil' baby Jesus, ain't laughing, noDon't involve yourself in things they ain't have to knowThe big man upstairs ain't laughin', noDon't involve yourself in things they ain't have to know"
24,"[Intro: Sunday Service Choir]Dear God, make it alrightOnly You can make it alrightDear Lord, make it alrightNothing else ever feels rightDear God, make it alrightNothing else ever feels rightNa-na-na, nothing else ever feels right[Verse 1: Kanye West]ExhaustedNever the right time to go—Right time to goNever the right time to goGod loves youLove when He choose your stepsGotta make it right 'fore you leftGotta make it right before you—Everybody wanna feel likеEverything gon' be rightNew mе over the old meLet it out, let it all outGod, please set it alrightMake it right, now that feels rightNothing else ever feels rightNothing else ever feels right"
